tweet,timestamp,username
"12.12.2019
HARBOLNAS udah deket nih! siap ngelist kebutuhan apa aja yg bakal kamu beli? Atau malah justru kamu sant… https://t.co/jNqXdSBWBh",Sat Dec 07 04:03:48 +0000 2019,SurabayaPagi
Jangan lupa MUMPUNG besok hari libur!!! Ada promo menarik buat kamu! Ikutan HARBOLNAS 12.12 Bareng @k24klik yuk!!!… https://t.co/3bPiAdRLnU,Sat Dec 07 03:43:00 +0000 2019,k24klik
"still dont have a clue, gatau mau nginep dimana pdhl harbolnas :( https://t.co/R1XNqgdBU7",Sat Dec 07 03:32:15 +0000 2019,brendachrs
"RT @jntexpressid: Pada Harbolnas 11.11 2019 lalu, sebanyak 6 juta paket telah dikirimkan #DenganJnT loh!

Nah, kira-kira di harbolnas 2019…",Sat Dec 07 03:13:42 +0000 2019,RoadRace2020
"Pada Harbolnas 11.11 2019 lalu, sebanyak 6 juta paket telah dikirimkan #DenganJnT loh!

Nah, kira-kira di harbolnas… https://t.co/J259SAva7B",Sat Dec 07 03:00:00 +0000 2019,jntexpressid
"HARBOLNAS akhir tahun segera datang , nih. Setiap tahunnya ternyata 3 kategori ini paling banyak diincar, lo.

https://t.co/tfeLpM1hfD",Sat Dec 07 02:44:26 +0000 2019,officialnova_id
"#Saat Harbolnas, Lazada #Jual #iPhone XS #Max Cuma Rp 12 https://t.co/r2qarod7LU https://t.co/7nDLRlthBT",Sat Dec 07 02:00:11 +0000 2019,TribunNew5
Akhir tahun.  Waktunya bayar perpanjangan domain blog-blog. Buah dari hobi nyari diskonan domain saat harbolnas 😄😄,Sat Dec 07 01:49:49 +0000 2019,retnoteera
UC Browser bersama Lazada kembali memeriahkan Harbolnas 12.12 https://t.co/KkP8F8yeg3,Sat Dec 07 01:38:15 +0000 2019,republikaonline
"FLASH DEALS!
Dapatkan produk-produk pilihan dari INNISFREE, DONGWON, TOMICA, dan POLO CLASSIC dengan harga spesial… https://t.co/BZqWvBh7r3",Sat Dec 07 01:04:47 +0000 2019,iLOTTE_id
Harbolnas 12.12 sebentar lagi nih! Ada yang spesial dari The F Thing untuk kamu yang selalu ingin belanja fashion h… https://t.co/PHTrrgKnLo,Sat Dec 07 01:00:29 +0000 2019,semuasale
"RT @KATADATAcoid: .@LazadaID, @ShopeeID, @bukalapak, @bliblidotcom, @ovo_id hingga @gopayindonesia memberikan promosi berupa diskon hingga…",Sat Dec 07 00:51:42 +0000 2019,andika_aoshi
Lazada 12.12: Wujudkan Keinginanmu dengan Diskon Akhir Tahun Terlengkap di Hari Belanja Online Nasional (Harbolnas)… https://t.co/wUrD19KnVw,Sat Dec 07 00:01:30 +0000 2019,itstaemii
"I'll not hunting for harbolnas this year bcs rn im misqueen for real 🙃
Bye",Fri Dec 06 23:36:32 +0000 2019,fckquita
Lazada 12.12: Wujudkan Keinginanmu dengan Diskon Akhir Tahun Terlengkap di Hari Belanja Online Nasional (Harbolnas)… https://t.co/Zr60D1yUYS,Fri Dec 06 23:30:20 +0000 2019,VaniaHanaku
